review_id,reviewer,rating,date,review,reviewer_url,source_file
Ci9DQUlRQUNvZENodHljRjlvT2t0MVMxRjVOVTVCVFdOblRYUlBSRFl0T1ZGNVQyYxAB,Rafael Noche,5,4 months ago,"Chelsea provides an outstanding customer experience every time. She’s attentive, approachable, and genuinely helpful when it comes to finding the right pieces. You can tell she knows the products well and takes the time to understand what …",https://www.google.com/maps/contrib/106663137933172034683/reviews?hl=en-CA,alo mtl reviews - Google Search example.html
Ci9DQUlRQUNvZENodHljRjlvT2pkQ1ducHRSbFpMTW5jd2QwTldNRVJrVlVKMlozYxAB,Nadia Sheikh,5,a month ago,I'm a regular client at ALO St-Catherine street Montreal and I have to say I always walk out with 100% satisfaction. The staff's patience and attentiveness is unique. They also add fun in my shopping experience! Highly recommended ⭐️⭐️⭐️⭐️⭐️,https://www.google.com/maps/contrib/111351406885516508062/reviews?hl=en-CA,alo mtl reviews - Google Search example.html
Ci9DQUlRQUNvZENodHljRjlvT25GTWIybzVlbkZXVFdGSmNYTkdkRE5EU2s1cWExRRAB,Manik Rane,1,5 months ago,"Visited the store on Ste Catarines in Montreal with a serious intent to buy men's shoes and women's athletic apparel. Walked up to the 2nd floor to check out the merchandise only to find three very young sales agent, two girls and a buy …",https://www.google.com/maps/contrib/116392309320849496821/reviews?hl=en-CA,alo mtl reviews - Google Search example.html
Ci9DQUlRQUNvZENodHljRjlvT21KNVVqYzVRMjV6V1U1VE5IaElZV00wV2tzMlJWRRAB,toby hale,5,7 months ago,"I would give Alo Montreal SIX stars if I could. From start to finish, my experience with this store was nothing short of exceptional!!!!  While visiting Montreal before Christmas, I was shopping for a gift for my wife and had the pleasure …",https://www.google.com/maps/contrib/118203710018656516398/reviews?hl=en-CA,alo mtl reviews - Google Search example.html
Ci9DQUlRQUNvZENodHljRjlvT2pGUFgwOU9NRTl5WlRObGFUUm5TRmxHWkRkek5IYxAB,arthur bizdikian,5,3 months ago,"This branch has one of the best selection of items, and the staff is amazing. The manager, Robert, is very friendly and helpful. I had an issue with a sweater long after the exchange date was expired, and he immediately exchanged it no …",https://www.google.com/maps/contrib/114274747324793126322/reviews?hl=en-CA,alo mtl reviews - Google Search example.html
Ci9DQUlRQUNvZENodHljRjlvT2xOd1IxTjZXbVF5WlVsZmRYa3RhRTE2ZDNCdGJuYxAB,E B,5,6 months ago,"Via E-mail Sent to General Manager of Alo Yoga, Store #86 1254 Ste. Catherine St. West, Montreal, QC H3G 1P1 …",https://www.google.com/maps/contrib/117097608471903722068/reviews?hl=en-CA,alo mtl reviews - Google Search example.html
Ci9DQUlRQUNvZENodHljRjlvT21Nd2MzcE1ZblpLYUdscFR6VnFUVEp0Y0dkMlVuYxAB,A. P.,4,Edited 7 months ago,The store is clean and nicely laid out. I just wish that a staff member would have offered to help me while shopping. …,https://www.google.com/maps/contrib/102960075947098296968/reviews?hl=en-CA,alo mtl reviews - Google Search example.html
Ci9DQUlRQUNvZENodHljRjlvT25jNFNqVnpUMU4xWmtkNGFWbExaemRxYkhoa05YYxAB,Lau Ki Fung,5,3 months ago,I purchased online and I had to do an exchange and refund there. They were efficient and helpful! They know exactly what I want and I left there very satisfied 😄,https://www.google.com/maps/contrib/112550600864145753839/reviews?hl=en-CA,alo mtl reviews - Google Search example.html
Ci9DQUlRQUNvZENodHljRjlvT25kRGFEUjZVakF4Wmtkc2FubzRXbEpWZVdKbE1XYxAB,Alberto Peter,5,5 months ago,"GREAT experience!! The team was so genuine and attentive, everyone had amazing energy and made my shopping so much better, also incredible shoes!!",https://www.google.com/maps/contrib/116887515278302461194/reviews?hl=en-CA,alo mtl reviews - Google Search example.html
Ci9DQUlRQUNvZENodHljRjlvT2tGTE1tbHVWVlU0UlhaNVQzbHpkM2RZTTJkNE4wRRAB,Anwale Grandte,5,9 months ago,What a store ! Super clean and well organized... at least no one jumps on you once you a foot in the store ! …,https://www.google.com/maps/contrib/114041829045723358869/reviews?hl=en-CA,alo mtl reviews - Google Search example.html
Ci9DQUlRQUNvZENodHljRjlvT20wM1NtaFZaWEIwTURsS2JtaEhhR1pDZURGM1FtYxAB,Youness Jamaleddine,5,6 months ago,"very very great experience , Leslie took the time for me and made it as if it was a personal shopper experience !!! shout out to Leslie who deserves not 5 but 10 stars ⭐️",https://www.google.com/maps/contrib/108966932734816291707/reviews?hl=en-CA,alo mtl reviews - Google Search example.html
Ci9DQUlRQUNvZENodHljRjlvT2xkTFVVRm1hVFprTVcxWGRIVk5NSFl4ZGpCYVVYYxAB,auto hi-tech 2020,1,3 months ago,"Bought brand new shoes in January Had a defect after 2 months , went to see the manager in downtown Montreal , he won’t even look at them …",https://www.google.com/maps/contrib/101455478962513720998/reviews?hl=en-CA,alo mtl reviews - Google Search example.html
Ci9DQUlRQUNvZENodHljRjlvT2pocFIyZDJNVzlYZUhOSmNtOTZSRmd6TTJSUmJGRRAB,Daniella,5,9 months ago,I had an amazing experience with Rene. It was my first time at alo and he was very helpful and kind. The clothes looks so nice and comfortable! I’ll definitely be shopping there again soon,https://www.google.com/maps/contrib/113653213336375289620/reviews?hl=en-CA,alo mtl reviews - Google Search example.html
Ci9DQUlRQUNvZENodHljRjlvT2tSNE1tVTFOekZ5ZG5kWVpqUmlWSEpzYmsxM01sRRAB,Elizabeth Chwakanowski,3,9 months ago,"The young girl that served me was so rude and cold. I asked her for a size and the first thing she answers is ""The store is closing in 15 minutes"". I know that I saw the sign on the door doesn’t matter. I just asked you if you carry a …",https://www.google.com/maps/contrib/107374074324510404968/reviews?hl=en-CA,alo mtl reviews - Google Search example.html
ChdDSUhNMG9nS0VJQ0FnSUNuXzZQZ2pRRRAB,vale,5,a year ago,"I don’t write reviews usually, I Went shop today afternoon and I was greeted by Amy on second floor , such a super nice and professional girl ! I she helped me a lot to found lots of staffs !! Thank you so much Amy!!;) see you soon:))",https://www.google.com/maps/contrib/104657825769544598182/reviews?hl=en-CA,alo mtl reviews - Google Search example.html
Ci9DQUlRQUNvZENodHljRjlvT20xc2REZHpXblV5ZFVGRldWZExZMXBJTW1Oa1IxRRAB,Louis-Charles Gauthier,5,2 months ago,"Great selection, staff really polite and nice and the shop is really nice to visit.",https://www.google.com/maps/contrib/112428610344483428014/reviews?hl=en-CA,alo mtl reviews - Google Search example.html
Ci9DQUlRQUNvZENodHljRjlvT25sTmVWOVVUa0owVlV0d0xVdEhVWG94TlZKbFNYYxAB,Danielly Aguilar,5,9 months ago,"Amazing service from René! Very attentive, knowledgeable, and friendly. You can immediately tell he’s a strong manager and sets the tone for the store. I’ll definitely return because of him.",https://www.google.com/maps/contrib/110755638673723507564/reviews?hl=en-CA,alo mtl reviews - Google Search example.html
ChZDSUhNMG9nS0VNR1YtTzJZbXFuMEpBEAE,Anna Galstyan,5,a year ago,What an amazing service!! Finally able to go to a store and receive such good help without feeling rushed or forced to buy. Big thank you to Roberto for his patience and guidance. I am absolutely in love with my purchases!!! looking forward …,https://www.google.com/maps/contrib/109435251860470679874/reviews?hl=en-CA,alo mtl reviews - Google Search example.html
Ci9DQUlRQUNvZENodHljRjlvT25KRVlWaGlNV0ZDUlU5VlRrWnhaVlI1TlhaWlZFRRAB,Robbie,5,5 months ago,Roberto is a rockstar. He is so nice and easy to deal with! Way to go Alo!,https://www.google.com/maps/contrib/107853029579894696619/reviews?hl=en-CA,alo mtl reviews - Google Search example.html
Ci9DQUlRQUNvZENodHljRjlvT2s5WVdXWm9NalJFWTNOcFFVVldXbXR0UjJkdVIzYxAB,Jordan Drezet,5,10 months ago,"We had a fantastic experience here. It was our first time shopping at this location and Alberto ensured we had the best experience. He was so personable, knowledgeable and professional. 10 stars all the way around!",https://www.google.com/maps/contrib/114879960572649789537/reviews?hl=en-CA,alo mtl reviews - Google Search example.html
Ci9DQUlRQUNvZENodHljRjlvT2xKM2FFWlpaMUV6ZG5odWVqQnRhM05mUmxkQlZVRRAB,Thalia Najjar,5,a year ago,"10/10 – Amazing experience! Agla was incredibly helpful and patient, and made sure I was completely satisfied with my purchase. She really listened and answered all my questions with care. …",https://www.google.com/maps/contrib/109216497971055650456/reviews?hl=en-CA,alo mtl reviews - Google Search example.html
Ci9DQUlRQUNvZENodHljRjlvT2tKNlVWOXJZamt5T0U1VmFtZ3pabVJ1T1RsWE5uYxAB,Bebette Muamba,4,4 months ago,"Hiba was amazinggg,gave me the best service ever! Really appreciated her and will be coming back!!",https://www.google.com/maps/contrib/102282898176017996739/reviews?hl=en-CA,alo mtl reviews - Google Search example.html
Ci9DQUlRQUNvZENodHljRjlvT21zelpVeDFZblJXVm5aelJFeFNZWGhXVFVOU01YYxAB,M Asefjah,5,9 months ago,I received an amazing customer service today from Lyana and Renee. The whole team are very professional and friendly. Would love to visit them again for my future purchases.,https://www.google.com/maps/contrib/109033014385709740740/reviews?hl=en-CA,alo mtl reviews - Google Search example.html
